"Year"	"Afghanistan; Bronze"	"Algeria; Gold"	"Algeria; Silver"	"Algeria; Bronze"	"Argentina; Gold"	"Argentina; Silver"	"Argentina; Bronze"	"Armenia; Gold"	"Armenia; Silver"	"Armenia; Bronze"	"Australasia; Gold"	"Australasia; Silver"	"Australasia; Bronze"	"Australia; Gold"	"Australia; Silver"	"Australia; Bronze"	"Austria; Gold"	"Austria; Silver"	"Austria; Bronze"	"Azerbaijan; Gold"	"Azerbaijan; Silver"	"Azerbaijan; Bronze"	"Bahamas; Gold"	"Bahamas; Silver"	"Bahamas; Bronze"	"Bahrain; Bronze"	"Barbados; Bronze"	"Belarus; Gold"	"Belarus; Silver"	"Belarus; Bronze"	"Belgium; Gold"	"Belgium; Silver"	"Belgium; Bronze"	"Bermuda; Bronze"	"Bohemia; Silver"	"Bohemia; Bronze"	"Botswana; Silver"	"Brazil; Gold"	"Brazil; Silver"	"Brazil; Bronze"	"British West Indies; Bronze"	"Bulgaria; Gold"	"Bulgaria; Silver"	"Bulgaria; Bronze"	"Burundi; Gold"	"Cameroon; Gold"	"Cameroon; Silver"	"Cameroon; Bronze"	"Canada; Gold"	"Canada; Silver"	"Canada; Bronze"	"Ceylon; Silver"	"Chile; Gold"	"Chile; Silver"	"Chile; Bronze"	"China; Gold"	"China; Silver"	"China; Bronze"	"Chinese Taipei; Gold"	"Chinese Taipei; Silver"	"Chinese Taipei; Bronze"	"Colombia; Gold"	"Colombia; Silver"	"Colombia; Bronze"	"Costa Rica; Gold"	"Costa Rica; Silver"	"Costa Rica; Bronze"	"Croatia; Gold"	"Croatia; Silver"	"Croatia; Bronze"	"Cuba; Gold"	"Cuba; Silver"	"Cuba; Bronze"	"Cyprus; Silver"	"Czech Republic; Gold"	"Czech Republic; Silver"	"Czech Republic; Bronze"	"Czechoslovakia; Gold"	"Czechoslovakia; Silver"	"Czechoslovakia; Bronze"	"Denmark; Gold"	"Denmark; Silver"	"Denmark; Bronze"	"Djibouti; Bronze"	"Dominican Republic; Gold"	"Dominican Republic; Silver"	"Dominican Republic; Bronze"	"East Germany; Gold"	"East Germany; Silver"	"East Germany; Bronze"	"Ecuador; Gold"	"Ecuador; Silver"	"Egypt; Gold"	"Egypt; Silver"	"Egypt; Bronze"	"Eritrea; Bronze"	"Estonia; Gold"	"Estonia; Silver"	"Estonia; Bronze"	"Ethiopia; Gold"	"Ethiopia; Silver"	"Ethiopia; Bronze"	"Finland; Gold"	"Finland; Silver"	"Finland; Bronze"	"France; Gold"	"France; Silver"	"France; Bronze"	"Gabon; Silver"	"Georgia; Gold"	"Georgia; Silver"	"Georgia; Bronze"	"Germany; Gold"	"Germany; Silver"	"Germany; Bronze"	"Ghana; Silver"	"Ghana; Bronze"	"Great Britain; Gold"	"Great Britain; Silver"	"Great Britain; Bronze"	"Greece; Gold"	"Greece; Silver"	"Greece; Bronze"	"Grenada; Gold"	"Guatemala; Silver"	"Guyana; Bronze"	"Haiti; Silver"	"Haiti; Bronze"	"Hong Kong; Gold"	"Hong Kong; Silver"	"Hong Kong; Bronze"	"Hungary; Gold"	"Hungary; Silver"	"Hungary; Bronze"	"Iceland; Silver"	"Iceland; Bronze"	"Independent Olympic Participants; Silver"	"Independent Olympic Participants; Bronze"	"India; Gold"	"India; Silver"	"India; Bronze"	"Indonesia; Gold"	"Indonesia; Silver"	"Indonesia; Bronze"	"Iran; Gold"	"Iran; Silver"	"Iran; Bronze"	"Iraq; Bronze"	"Ireland; Gold"	"Ireland; Silver"	"Ireland; Bronze"	"Israel; Gold"	"Israel; Silver"	"Israel; Bronze"	"Italy; Gold"	"Italy; Silver"	"Italy; Bronze"	"Ivory Coast; Silver"	"Jamaica; Gold"	"Jamaica; Silver"	"Jamaica; Bronze"	"Japan; Gold"	"Japan; Silver"	"Japan; Bronze"	"Kazakhstan; Gold"	"Kazakhstan; Silver"	"Kazakhstan; Bronze"	"Kenya; Gold"	"Kenya; Silver"	"Kenya; Bronze"	"Kuwait; Bronze"	"Kyrgyzstan; Silver"	"Kyrgyzstan; Bronze"	"Latvia; Gold"	"Latvia; Silver"	"Latvia; Bronze"	"Lebanon; Silver"	"Lebanon; Bronze"	"Lithuania; Gold"	"Lithuania; Silver"	"Lithuania; Bronze"	"Luxembourg; Gold"	"Luxembourg; Silver"	"Macedonia; Bronze"	"Malaysia; Silver"	"Malaysia; Bronze"	"Mauritius; Bronze"	"Mexico; Gold"	"Mexico; Silver"	"Mexico; Bronze"	"Mixed team; Gold"	"Mixed team; Silver"	"Mixed team; Bronze"	"Moldova; Silver"	"Moldova; Bronze"	"Mongolia; Gold"	"Mongolia; Silver"	"Mongolia; Bronze"	"Montenegro; Silver"	"Morocco; Gold"	"Morocco; Silver"	"Morocco; Bronze"	"Mozambique; Gold"	"Mozambique; Bronze"	"Namibia; Silver"	"Netherlands; Gold"	"Netherlands; Silver"	"Netherlands; Bronze"	"Netherlands Antilles; Silver"	"New Zealand; Gold"	"New Zealand; Silver"	"New Zealand; Bronze"	"Niger; Bronze"	"Nigeria; Gold"	"Nigeria; Silver"	"Nigeria; Bronze"	"North Korea; Gold"	"North Korea; Silver"	"North Korea; Bronze"	"Norway; Gold"	"Norway; Silver"	"Norway; Bronze"	"Pakistan; Gold"	"Pakistan; Silver"	"Pakistan; Bronze"	"Panama; Gold"	"Panama; Bronze"	"Paraguay; Silver"	"Peru; Gold"	"Peru; Silver"	"Philippines; Silver"	"Philippines; Bronze"	"Poland; Gold"	"Poland; Silver"	"Poland; Bronze"	"Portugal; Gold"	"Portugal; Silver"	"Portugal; Bronze"	"Puerto Rico; Silver"	"Puerto Rico; Bronze"	"Qatar; Bronze"	"Republic of China; Silver"	"Republic of China; Bronze"	"Romania; Gold"	"Romania; Silver"	"Romania; Bronze"	"Russia; Gold"	"Russia; Silver"	"Russia; Bronze"	"Russian Empire; Gold"	"Russian Empire; Silver"	"Russian Empire; Bronze"	"Saudi Arabia; Silver"	"Saudi Arabia; Bronze"	"Senegal; Silver"	"Serbia; Gold"	"Serbia; Silver"	"Serbia; Bronze"	"Serbia and Montenegro; Silver"	"Singapore; Silver"	"Singapore; Bronze"	"Slovakia; Gold"	"Slovakia; Silver"	"Slovakia; Bronze"	"Slovenia; Gold"	"Slovenia; Silver"	"Slovenia; Bronze"	"South Africa; Gold"	"South Africa; Silver"	"South Africa; Bronze"	"South Korea; Gold"	"South Korea; Silver"	"South Korea; Bronze"	"Soviet Union; Gold"	"Soviet Union; Silver"	"Soviet Union; Bronze"	"Spain; Gold"	"Spain; Silver"	"Spain; Bronze"	"Sri Lanka; Silver"	"Sudan; Silver"	"Suriname; Gold"	"Suriname; Bronze"	"Sweden; Gold"	"Sweden; Silver"	"Sweden; Bronze"	"Switzerland; Gold"	"Switzerland; Silver"	"Switzerland; Bronze"	"Syria; Gold"	"Syria; Silver"	"Syria; Bronze"	"Tajikistan; Silver"	"Tajikistan; Bronze"	"Tanzania; Silver"	"Thailand; Gold"	"Thailand; Silver"	"Thailand; Bronze"	"Togo; Bronze"	"Tonga; Silver"	"Trinidad and Tobago; Gold"	"Trinidad and Tobago; Silver"	"Trinidad and Tobago; Bronze"	"Tunisia; Gold"	"Tunisia; Silver"	"Tunisia; Bronze"	"Turkey; Gold"	"Turkey; Silver"	"Turkey; Bronze"	"Uganda; Gold"	"Uganda; Silver"	"Uganda; Bronze"	"Ukraine; Gold"	"Ukraine; Silver"	"Ukraine; Bronze"	"Unified Team; Gold"	"Unified Team; Silver"	"Unified Team; Bronze"	"United Arab Emirates; Gold"	"United Arab Republic; Silver"	"United Arab Republic; Bronze"	"United States; Gold"	"United States; Silver"	"United States; Bronze"	"Uruguay; Gold"	"Uruguay; Silver"	"Uruguay; Bronze"	"Uzbekistan; Gold"	"Uzbekistan; Silver"	"Uzbekistan; Bronze"	"Venezuela; Gold"	"Venezuela; Silver"	"Venezuela; Bronze"	"Vietnam; Silver"	"Virgin Islands; Silver"	"West Germany; Gold"	"West Germany; Silver"	"West Germany; Bronze"	"Yugoslavia; Gold"	"Yugoslavia; Silver"	"Yugoslavia; Bronze"	"Zambia; Silver"	"Zambia; Bronze"	"Zimbabwe; Gold"	"Zimbabwe; Silver"	"Zimbabwe; Bronze"
"1896"														2			2	1	2																																																														1	2	3																							5	4	2					6	5	2			2	3	2	10	17	19									2	1	3																																																									1	1	1																																																																																														1	2																																		11	7	2																						
"1900"														2		3		3	3												5	5	5		1	1													1		1																				1	1									1	3	2																							26	41	34					4	2	2			15	6	9												1	2	2						2															2	2																																		1	6	3	3														1	3													2	3																																																							1									1	6	2	1																																	19	14	14																						
"1904"																			1																														4	1	1																				4	2	3																																								4	4	5			1	1		1		1									2	1	1																																																									1	1																																																																																															1		1																																	78	82	79																						
"1908"											1	2	2						1												1	5	2			2													3	3	10																															2	3																				1	1	3	5	5	9					3	5	5			56	51	39		3										3	4	2																					2	2																																																				2												2	3	3																												1	2																	1	1															8	6	11																																				23	12	12																						
"1912"											2	2	3					2	2												2	1	3																3	2	3																														1	6	5																				9	8	9	7	4	3					5	13	7			10	15	16	1		1									3	2	3																					3	1	2																																																			3												4	1	4																													2	3																4	2															24	24	17																																				25	19	19																						
"1920"															2	1															14	11	11					1	1	1									3	3	3																													2	3	9	1														1	2					15	10	9	9	19	13										15	15	13		1																																	13	5	5						2																				1																							4	2	5				1								13	9	9																																														3	4	3								2						19	20	25	2	2	7																																	41	27	27																						
"1924"					1	3	2							3	1	2		3	1												3	7	3																	3	1																											1	4	5	2	5	2														1	1	4				14	13	10	13	15	10										9	13	12								1				2	3	4																					8	3	5							1																																										4	1	5				1								5	2	3												1	1			1								1																						1	1	1														4	13	12	7	8	10																																	45	27	27	1														2							
"1928"					3	3	1							1	2	1	2		1													1	2																4	4	7			1																								2	5	2	3	1	2										2	1	1		2	1	2				8	8	9	6	10	5					10	7	14			3	10	7							1					4	5						1										1						7	5	7					2	2	1																																										6	9	4		1										1	2	1										1	1	1	3			1																														1		2							1							7	6	12	7	4	4																																	22	18	16	1														1	1	3					
"1932"					3	1								3	1	1	1	1	3																														2	5	8																											1	2	1		3	3																				5	8	12	10	5	4					3	12	5			4	7	5												6	4	5					1										2						12	12	12					7	7	4											1														2																	2	5				1																					3	2	1	4																																	2		3									1					9	5	9		1																																		41	32	30			1																			
"1936"					2	2	3									1	4	6	3														2																1	3	5																											3	5			2	3										2	1	2		2	2	3				7	6	6	7	6	6					33	26	30			4	7	3												10	1	5					1																8	9	5					6	4	8											1	1														3																6	4	7		1										1	3	2										1		3	3			1							1																								1															6	5	9	1	9	5																		1		1													24	20	12																1						
"1948"					3	3	1							2	6	5	1		3												2	2	3							1										1	2	1																				1						6	2	3	5	7	8										2	2	1								8	7	5	10	6	13										3	14	6												10	5	12					1								1								8	11	8		1	2																												2	1	2																5	2	9												1	3	3					2		1						1		1	1		1																												2	1	1			2					1						16	11	17	5	10	5													1					6	4	2													38	27	19		1	1													2						
"1952"					1	2	2							6	2	3		1	1												2	2						1		2				1					1	2				2																								7	3	3	2	1	3												1								6	3	13	6	6	6						7	17			1	2	8												16	10	16					1		1					3	4			1					8	9	4		2	3		1	6	2													1	1				1							1																		5			1		2								3	2												1	2	1			1						1	1	2																						2	4	4			2	22	30	19		1						12	13	10	2	6	6														2				2		1													40	19	17			2						1						1	2						
"1956"						1	1							13	8	14			2						1							2						1				1	3	1					2	1	3			2	2																							1	4	1	1	2	1																				3	1	11	4	4	6					6	13	7			6	7	11			1									9	10	7	1				1						2	2	1		1	1	3				8	8	9					4	10	5																								1		1																				2										1		2		1									1	4	4									5	3	5																								4		1	1	37	29	32								8	5	6			1																		3	2	2													32	25	17			1													3						
"1960"						1	1							8	8	6	1	1														2	2							2	2	1	3	3						1																												3	2	3	2	3	1																	1			1	1	3		2	3					12	19	11	1		2	6	12	1											6	8	7						1						1	3	1							13	10	13					4	7	7																										1											1						1	2		2		1								1			1		1								4	6	11		1					1		3	1	6														1									1	2				43	29	31			1					1	2	3		3	3																		7	2												1	1	34	21	16									1						1	1						
"1964"						1								6	2	10							1								2		1							1		3	5	2					1	2	1																					1						5	6	3	2	1	3																	1			3		2	1	8	6					10	22	18		1	4	12	2												10	7	5					1								2				1				10	10	7					16	5	8						1																				1																2	4	4		3		2				1								1							1		7	6	10									2	4	6																										2	1	30	31	35								2	2	4	1	2	1													1	2		1	1	2	3	1													36	26	28			1												2	1	2					
"1968"							2							5	7	5		2	2													1	1						1	2		2	4	3			1		1	3	1																					4						7	2	4	1	4	3					9	9	7										1	1		1	2	1	7	3	5										5	5	3			1									10	10	12							1				2	1	2								3	4	9			1		11	7	7				3	4	2																		3	3	3							1	3								3	3	1		1		2								1	1		1										5	2	11								1	4	6	5																										1	1	29	32	30								2	1	1		1	4															1		1	2				1	1										45	28	34							1					5	11	10	3	3	2					
"1972"						1								8	7	2		1	2													2								2		6	10	5						2	3												1	2							3	1	4					2	4	2	1							20	23	23												2	3	1	4	2	4	7									1	4	5	9		2										6	13	16							1					2	1								5	3	10				1	13	8	8				2	3	4							1												1								1									3	1	1		1	1	1	1			1	1	1	3	2	1	1		1									7	5	9									3	6	7																										1		50	27	22			1					4	6	6		3																	1			1		1	1											33	31	30												13	11	16	2	1	2					
"1976"															1	4			1													3	3	1						2		6	9	7						5	6																				6	4	3					2	2	4	1		2					40	25	25													4	2		2	3	4										3	5	5												4	5	13												1	1								2	7	4		1	1		9	6	10																								1		1							1										2	3		2	1	1					1	1		1	1				1								7	6	13		2			1				4	9	14																									1	1	4	49	41	35		2						4	1		1	1	2									1			1																					34	35	25								1				10	12	17	2	3	3					
"1980"														2	2	5	1	2	1												1							2		2		8	16	17																											8	7	5					2	3	9	2	1	2					47	37	42										2		2	3	1	4	6	5	3										5	7	9	1		2			1						7	10	15					1											1	1				8	3	4				3																	1											1	3							2	2									1	2										3	2														3	14	15									6	6	13																												80	69	46	1	3	2					3	3	6	2								2																1																					1							2	3	4			1		
"1984"				2										4	8	12	1	1	1												1	1	2					1	5	2								1	10	18	16					15	8	9			1		1																			3	3				1							1									4	2	6	5	7	16										5	11	21		1	1													1														1					14	6	12	1		1	2	10	8	14				1		2																		2	3	1										2						5	2	6		8	1	2			1	1					1	2	1							1						1		2	1	1				20	16	17																									6	6	7				1	2	2					2	11	6		4	4		1						1												3													83	61	30									3			17	19	23	7	4	7		1			
"1988"						1	1							3	6	5	1																2					1	2	3		10	12	13					3	2	5			1		5	11	12						1		1												3	3	2	2	1	1	1				37	35	30													1	1	2	6	4	6										5	10	9			1									11	6	6									1			1									6	4	4			2		4	3	7				5	2	2																				2								1		1		2				2	2	5	1	3	2	8								2	3				1					1		1	2	5	9	1								7	11	6									1																12	10	11	55	31	46	1	1	2			1			4	7		2	2									1									1	1														36	31	27											1	11	14	15	3	4	5					
"1992"		1		1			1							7	9	11		2							1							1	2					2	1			3	7	6					7	4	7					16	22	16		1				1					1	2	14	6	11					4	2	1	1	1	4														1		1	1		2	1	2	2	8	5	16					33	21	28		1	5	3	12	2											11	12	7			1	2				2	2	1		1	2		1	1			1	1	6	5	8			3	1	3	8	11				2	4	2					2	1			1		1					1			1									2		1	1	1			2	2	6	7		1	4	5			3	1	4		5	2	4	1			1					1		1	3	6	10					1	1			4	6	8																					2		2		12	5	12				13	7	2				1	1	7	4	1											1									2	2	2							45	38	29				37	34	37																						
"1996"		2		1		2	1	1	1					9	9	23		1	2		1			1				1	6	8	2	2	2					3	3	9		3	7	5	1				3	11	8					16	22	12		1					1			1	1		9	8	8		4	3	4				4	1	1								1									2		1	1	2	1	15	7	15				2	20	18	27			1	8	6	4	4							1			7	4	10							1	1	1	2	1	1	1		3		1			1	13	10	12		1	3	2	3	6	5	3	4	4	1	4	3					1						1				1	1				1				1	1			1				2		1	2	4	5	10		3	2	1		2	1	3	2	1	2	2	2	3									1		7	5	5	1		1		1				4	7	9	26	21	16													1	1	1		2		3	1	1	7	15	5				5	6	6					2	4	2	4	3		1						1		1		1			2			1	4	1	1			1	9	2	12							44	32	25					1	1									1	1	2	1				
